,DatetimeUTC,dt,hour,demand,solar,PowerRequest,PowerOutput,PowerRamp,HeatInput,Efficiency,battCharge,battIncrease,battDecrease,battDischargeRate,battChargeRate,battRamp,solarUsed,loadShed,deficit,gridUsed,CO2_produced,CO2_captured,Emissions
0,2017-10-30 00:00:00-04:00,1,0,26.467,0.0,26.467,26.467,-24.833,55.8371586161,47.4003345728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167511475848,0.0,0.167511475848
1,2017-10-30 00:01:00-04:00,1,0,26.32,0.0,26.32,26.32,-0.147,55.6116096001,47.3282470859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668348288,0.0,0.1668348288
2,2017-10-30 00:02:00-04:00,1,0,26.32,0.0,26.32,26.32,0.0,55.6116096001,47.3282470859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668348288,0.0,0.1668348288
3,2017-10-30 00:03:00-04:00,1,0,26.32,0.0,26.32,26.32,0.0,55.6116096001,47.3282470859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668348288,0.0,0.1668348288
4,2017-10-30 00:04:00-04:00,1,0,26.32,0.0,26.32,26.32,0.0,55.6116096001,47.3282470859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668348288,0.0,0.1668348288
5,2017-10-30 00:05:00-04:00,1,0,26.32,0.0,26.32,26.32,0.0,55.6116096001,47.3282470859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1668348288,0.0,0.1668348288
6,2017-10-30 00:06:00-04:00,1,0,26.188,0.0,26.188,26.188,-0.132,55.408977335,47.263099338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166226932005,0.0,0.166226932005
7,2017-10-30 00:07:00-04:00,1,0,26.188,0.0,26.188,26.188,0.0,55.408977335,47.263099338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166226932005,0.0,0.166226932005
8,2017-10-30 00:08:00-04:00,1,0,26.188,0.0,26.188,26.188,0.0,55.408977335,47.263099338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166226932005,0.0,0.166226932005
9,2017-10-30 00:09:00-04:00,1,0,26.188,0.0,26.188,26.188,0.0,55.408977335,47.263099338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166226932005,0.0,0.166226932005
10,2017-10-30 00:10:00-04:00,1,0,26.188,0.0,26.188,26.188,0.0,55.408977335,47.263099338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166226932005,0.0,0.166226932005
